component_id;id_posla;tip_sestavine;vrsta_koda;vrsta_opis;vrsta_skupina;sifra_ko;ime_ko;naselje;naslov;identifikator;prodani_delez;prodani_delez_decimal;povrsina_osnovna_m2;povrsina_deleza_m2;uporabna_povrsina_m2;leto_izgradnje;e_centroid;n_centroid;pogodbena_cena_posla_eur;pogodbena_cena_sestavine_eur;opozorilo_cena;datum_sklenitve_pogodbe;trznost_koda;trznost_opis;leto_paketa;source_file
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-2;630674;DEL_STAVBE;1;Stanovanjska hiša;STANOVANJSKA_HISA;1724;BREZOVICA;VNANJE GORICE;PODPEŠKA CESTA 145;stavba 2539, del 3;1/1;1.0;78.0;78.0;71.3;1972;454536.78;96727.04;135000.0;;Cena posla ni avtomatsko cena te sestavine;2021-11-11;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-3;630678;DEL_STAVBE;1;Stanovanjska hiša;STANOVANJSKA_HISA;1652;RAKITNA;RAKITNA;RAKITNA 25 L;stavba 887, del 1;1/4;0.25;64.7;16.175;33.2;2000;455686.59;83336.98;15000.0;;Cena posla ni avtomatsko cena te sestavine;2021-11-15;4;Neopredeljen posel;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-4;630682;DEL_STAVBE;2;Stanovanje;STANOVANJE;1724;BREZOVICA;VNANJE GORICE;PODPEŠKA CESTA 145;stavba 2539, del 4;1/1;1.0;53.5;53.5;51.2;1972;454536.78;96727.04;50000.0;;Cena posla ni avtomatsko cena te sestavine;2021-11-11;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-5;629738;DEL_STAVBE;2;Stanovanje;STANOVANJE;1724;BREZOVICA;NOTRANJE GORICE;PODKLIN 14;stavba 3495, del 2;1/1;1.0;80.9;80.9;80.9;1986;453292.97;94176.54;182700.0;;Cena posla ni avtomatsko cena te sestavine;2021-11-08;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-6;522494;DEL_STAVBE;13;Kmetijski objekt;KMETIJSKI_OBJEKT;1724;BREZOVICA;;;stavba 1082, del 1;1/1;1.0;190.0;190.0;190.0;1991;454620.77;96126.75;258357.62;;Cena posla ni avtomatsko cena te sestavine;2020-10-24;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-7;522494;DEL_STAVBE;1;Stanovanjska hiša;STANOVANJSKA_HISA;1724;BREZOVICA;VNANJE GORICE;PODPEŠKA CESTA 201;stavba 2650, del 1;1/1;1.0;171.6;171.6;80.0;1991;454614.37;96116.61;258357.62;;Cena posla ni avtomatsko cena te sestavine;2020-10-24;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-8;522494;DEL_STAVBE;13;Kmetijski objekt;KMETIJSKI_OBJEKT;1724;BREZOVICA;;;stavba 2652, del 1;1/1;1.0;127.8;127.8;127.8;1991;454611.18;96096.01;258357.62;;Cena posla ni avtomatsko cena te sestavine;2020-10-24;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-9;541889;DEL_STAVBE;1;Stanovanjska hiša;STANOVANJSKA_HISA;1724;BREZOVICA;PODPLEŠIVICA;PODPLEŠIVICA 65 C;stavba 4250, del 1;1/1;1.0;113.6;113.6;73.6;2007;452094.9;96107.57;240000.0;;Cena posla ni avtomatsko cena te sestavine;2021-04-12;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-10;543722;DEL_STAVBE;2;Stanovanje;STANOVANJE;1703;JEZERO;JEZERO;JEZERO 19;stavba 428, del 5;1/1;1.0;54.7;54.7;54.7;2002;455123.97;92808.67;47500.0;;Cena posla ni avtomatsko cena te sestavine;2021-04-22;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
D-2021-ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv-11;531757;DEL_STAVBE;1;Stanovanjska hiša;STANOVANJSKA_HISA;1724;BREZOVICA;;;stavba 4623, del 1;1;1.0;177.5;177.5;0.0;2018;455094.7;98080.54;270000.0;;Cena posla ni avtomatsko cena te sestavine;2020-06-19;2;Tržen posel – neustrezni podatki;2021;ETN_008_2021_KPP_2021_DELISTAVB_20260724.csv
