id_posla;datum_sklenitve_pogodbe;leto_pogodbe;datum_uveljavitve;leto_paketa;pogodbena_cena_eur;vrsta_posla_koda;vrsta_posla_opis;trznost_koda;trznost_opis;vrsta_akta_opis;vkljucenost_ddv_opis;stopnja_ddv_opis;glavna_kategorija;analiticna_enota;atomarnost_posla;kakovost_analiticna;kakovost_razlog;stevilo_delov_stavb;stevilo_parcel;stevilo_sestavin_skupaj;vrste_delov_stavb;skupine_delov_stavb;vrste_zemljisc;skupine_zemljisc;katastrske_obcine;sifre_ko;naselja;naslovi;parcele;stavbe_in_deli;prodani_delezi_delov;prodani_delezi_parcel;vsi_delezi_polni;povrsina_delov_porocana_sum_m2;povrsina_delov_delez_sum_m2;uporabna_povrsina_delez_sum_m2;povrsina_zemljisc_delez_sum_m2;analiticna_povrsina_m2;analiticna_cena_eur_m2;najstarejse_leto_izgradnje;najnovejse_leto_izgradnje;e_centroid_povprecje;n_centroid_povprecje;manjkajo_koordinate;cena_sestavin_izpolnjena;opombe_o_pravnem_poslu;source_file
522071;2020-09-07;2020;2021-01-13;2021;36000.0;1;Prodaja nepremičnin na prostem trgu;4;Neopredeljen posel;Osnovna pogodba;Ne;;STAVBNO ZEMLJIŠČE;STAVBNO_ZEMLJISCE_CISTO;ENOSESTAVINSKI;C;GURS tržnost: Neopredeljen posel;0;1;1;;;Zemljišče, na katerem je ali bo mogoče graditi stavbo in je delno komunalno opremljeno ali komunalno neopremljeno;STAVBNO;BREZOVICA;1724;;;956/5;;;1/1;1;;;;401.0;401.0;89.77556109725685;;;453763.77;95734.67;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
522279;2020-11-05;2020;2021-01-13;2021;2000.0;1;Prodaja nepremičnin na prostem trgu;3;Drug posel;Osnovna pogodba;Ne;;MEŠANO/DRUGO ZEMLJIŠČE;NI_NEPOSREDNO_RAZDELJIV;ENOSESTAVINSKI;C;GURS tržnost: Drug posel;0;1;1;;;Zemljišče, na katerem je cesta ali parkirišče;INFRASTRUKTURA;PRESERJE;1705;;;382/5;;;1/12;0;;;;24.75;;;;;454763.28;90792.5;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
522310;2020-11-05;2020;2021-01-13;2021;122000.0;1;Prodaja nepremičnin na prostem trgu;2;Tržen posel – neustrezni podatki;Osnovna pogodba;Ne;;MEŠANI POSEL – STAVBA IN ZEMLJIŠČE;NI_NEPOSREDNO_RAZDELJIV;MEŠANI;B;GURS: tržen posel – neustrezni podatki;1;1;2;Kmetijski objekt;KMETIJSKI_OBJEKT;Zemljišče pod stavbo ali drugo stavbi ali delu stavbe pripadajoče zemljišče (zemljišče pod stavbo, dvorišče, dovozna pot, vrt, zelenica, stanovanjski atrij in podobno);PRIPADAJOCE;BREZOVICA;1724;;;1460/6;1276/1;1/1;1/1;1;16.0;16.0;16.0;931.0;;;1991;1991;455536.61;96657.94;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
522430;2020-11-06;2020;2021-01-13;2021;56000.0;1;Prodaja nepremičnin na prostem trgu;2;Tržen posel – neustrezni podatki;Osnovna pogodba;Ne;;STAVBNO ZEMLJIŠČE;STAVBNO_ZEMLJISCE_CISTO;ENOSESTAVINSKI;B;GURS: tržen posel – neustrezni podatki;0;1;1;;;Zemljišče na katerem je mogoče graditi stavbo in ima gradbeno dovoljenje;STAVBNO;KAMNIK;1704;;;3166/2;;;1/1;1;;;;792.0;792.0;70.70707070707071;;;454213.97;90488.23;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
522494;2020-10-24;2020;2021-01-13;2021;258357.62;1;Prodaja nepremičnin na prostem trgu;2;Tržen posel – neustrezni podatki;Osnovna pogodba;Ne;;HIŠA S PRIPADAJOČIM ZEMLJIŠČEM;NI_NEPOSREDNO_RAZDELJIV;MEŠANI;B;GURS: tržen posel – neustrezni podatki;3;4;7;Kmetijski objekt | Stanovanjska hiša;KMETIJSKI_OBJEKT | STANOVANJSKA_HISA;Zemljišče pod stavbo ali drugo stavbi ali delu stavbe pripadajoče zemljišče (zemljišče pod stavbo, dvorišče, dovozna pot, vrt, zelenica, stanovanjski atrij in podobno) | Zemljišče za kmetijsko rabo (njiva, travnik, pašnik);KMETIJSKO | PRIPADAJOCE;BREZOVICA;1724;VNANJE GORICE;PODPEŠKA CESTA 201;1027/2 | 1028/1 | 1028/3 | 2095;1082/1 | 2650/1 | 2652/1;1/1;1/1;1;490.0;489.4;397.8;9499.0;;;1991;1991;454665.64;95932.73571428572;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
522526;2020-11-18;2020;2021-01-13;2021;90000.0;1;Prodaja nepremičnin na prostem trgu;3;Drug posel;Osnovna pogodba;Ne;;HIŠA S PRIPADAJOČIM ZEMLJIŠČEM;HISA_CELI_POSEL;MEŠANI;C;GURS tržnost: Drug posel;2;4;6;Stanovanjska hiša;STANOVANJSKA_HISA;Zemljišče pod stavbo ali drugo stavbi ali delu stavbe pripadajoče zemljišče (zemljišče pod stavbo, dvorišče, dovozna pot, vrt, zelenica, stanovanjski atrij in podobno);PRIPADAJOCE;KAMNIK;1704;KAMNIK POD KRIMOM;KAMNIK POD KRIMOM 97;*418 | 1051/3 | 1051/4 | 1052/7;452/1 | 453/1;1/2;1/2;0;254.0;126.75;95.6;741.5;;;1956;1965;453866.60333333333;90908.46666666667;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
522673;2020-11-15;2020;2021-01-13;2021;210000.0;1;Prodaja nepremičnin na prostem trgu;2;Tržen posel – neustrezni podatki;Osnovna pogodba;Ne;;STANOVANJE Z DODATKI/ZEMLJIŠČEM;NI_NEPOSREDNO_RAZDELJIV;MEŠANI;B;GURS: tržen posel – neustrezni podatki;1;5;6;Stanovanje;STANOVANJE;Zemljišče pod stavbo ali drugo stavbi ali delu stavbe pripadajoče zemljišče (zemljišče pod stavbo, dvorišče, dovozna pot, vrt, zelenica, stanovanjski atrij in podobno) | Zemljišče, na katerem je cesta ali parkirišče;INFRASTRUKTURA | PRIPADAJOCE;BREZOVICA;1724;BREZOVICA PRI LJUBLJANI;PODSVETIJA 26 C;369/182 | 369/205 | 369/207 | 369/208 | 369/221;3884/3;1/1;2/52 | 2/6 | 2/90;0;86.0;86.1;70.7;108.0068376068376;;;2008;2008;455071.6666666667;97949.51666666666;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
522808;2020-11-14;2020;2021-01-13;2021;210000.0;1;Prodaja nepremičnin na prostem trgu;3;Drug posel;Osnovna pogodba;Ne;;HIŠA S PRIPADAJOČIM ZEMLJIŠČEM;HISA_CELI_POSEL;MEŠANI;C;GURS tržnost: Drug posel;1;2;3;Stanovanjska hiša;STANOVANJSKA_HISA;Zemljišče pod stavbo ali drugo stavbi ali delu stavbe pripadajoče zemljišče (zemljišče pod stavbo, dvorišče, dovozna pot, vrt, zelenica, stanovanjski atrij in podobno) | Zemljišče, na katerem je cesta ali parkirišče;INFRASTRUKTURA | PRIPADAJOCE;BREZOVICA;1724;;;960/25 | 960/27;4600/1;1/1;1/1 | 1/2;0;185.0;184.7;167.0;498.5;;;2017;2017;453851.6166666667;95744.09666666666;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
523046;2020-11-18;2020;2021-01-14;2021;2250.0;1;Prodaja nepremičnin na prostem trgu;1;Tržen posel;Osnovna pogodba;Ne;;MEŠANO/DRUGO ZEMLJIŠČE;NI_NEPOSREDNO_RAZDELJIV;ENOSESTAVINSKI;B;skupne cene ni mogoče neposredno razdeliti;0;1;1;;;Zemljišče, na katerem je cesta ali parkirišče;INFRASTRUKTURA;KAMNIK;1704;;;882/2;;;1/1;1;;;;45.0;;;;;453255.55;91863.95;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
523106;2020-11-04;2020;2021-01-14;2021;47000.0;1;Prodaja nepremičnin na prostem trgu;2;Tržen posel – neustrezni podatki;Osnovna pogodba;Ne;;MEŠANO/DRUGO ZEMLJIŠČE;NI_NEPOSREDNO_RAZDELJIV;MEŠANI;B;GURS: tržen posel – neustrezni podatki;0;4;4;;;Zemljišče za gozdno rabo (gozd) | Zemljišče, na katerem je ali bo mogoče graditi stavbo in je delno komunalno opremljeno ali komunalno neopremljeno;GOZDNO | STAVBNO;KAMNIK;1704;;;1344/18 | 1344/21 | 1344/22 | 1344/6;;;1/1 | 1/4;0;;;;5342.75;;;;;452215.9125;90270.89;0;0;;ETN_008_2021_KPP_2021_POSLI_20260724.csv
